month,ic,factor,horizon
2025-12,0.0392015570115098,turnover_rel,5
2026-01,-0.052770386935546865,turnover_rel,5
2026-02,-0.004060229408277581,turnover_rel,5
2026-03,0.03333519586985914,turnover_rel,5
2026-04,-0.12097815786399412,turnover_rel,5
2026-05,0.0025424258358715543,turnover_rel,5
2026-06,0.06553802501652797,turnover_rel,5
2026-07,-0.15201093858576,turnover_rel,5
2026-08,-0.11009768463443032,turnover_rel,5
2026-09,-0.058448609528732445,turnover_rel,5
2025-01,0.14456662665066025,turnover_rate,5
2025-02,0.0022404652031902273,turnover_rate,5
2025-03,-0.16858417999869862,turnover_rate,5
2025-04,-0.08252274743423384,turnover_rate,5
2025-05,-0.1846495776600375,turnover_rate,5
2025-06,-0.1035498724310548,turnover_rate,5
2025-07,-0.09213206923893492,turnover_rate,5
2025-08,-0.01042312591944262,turnover_rate,5
2025-09,0.019090341232680472,turnover_rate,5
2025-10,-0.14272133095662506,turnover_rate,5
2025-11,-0.19119041281018062,turnover_rate,5
2025-12,0.09920476649551876,turnover_rate,5
2026-01,0.04238951055196084,turnover_rate,5
2026-02,0.14898060178316277,turnover_rate,5
2026-03,-0.2896614914920524,turnover_rate,5
2026-04,0.1744373153273252,turnover_rate,5
2026-05,0.03189550064259507,turnover_rate,5
2026-06,-0.055827319131382516,turnover_rate,5
2026-07,-0.30016718733789727,turnover_rate,5
2026-08,-0.08146580632789081,turnover_rate,5
2026-09,-0.16138277705722237,turnover_rate,5
2025-01,0.13382953181272508,vol20,5
2025-02,0.12218597915207548,vol20,5
2025-03,-0.24769907306081523,vol20,5
2025-04,0.10179741429707544,vol20,5
2025-05,-0.2847421098066693,vol20,5
2025-06,-0.06315835579943123,vol20,5
2025-07,-0.09087146143603224,vol20,5
2025-08,0.07490959339330497,vol20,5
2025-09,0.04568343709717703,vol20,5
2025-10,-0.20976148034971565,vol20,5
2025-11,-0.07848821470084218,vol20,5
2025-12,0.07194438041484182,vol20,5
2026-01,0.0605094566181103,vol20,5
2026-02,0.1617009097551329,vol20,5
2026-03,-0.2985320806357126,vol20,5
2026-04,0.2600833383776872,vol20,5
2026-05,-0.07141234976486627,vol20,5
2026-06,-0.03339122465702956,vol20,5
2026-07,-0.25916607135453557,vol20,5
2026-08,-0.05101553920411409,vol20,5
2026-09,-0.20899697803660372,vol20,5
2025-01,0.10026410564225689,atr_pct,5
2025-02,0.16575526545764463,atr_pct,5
2025-03,-0.2811932086485288,atr_pct,5
2025-04,0.06156906917245632,atr_pct,5
2025-05,-0.3400022799704999,atr_pct,5
2025-06,-0.08887770734787087,atr_pct,5
2025-07,-0.06313402758672634,atr_pct,5
2025-08,0.07199640355616123,atr_pct,5
2025-09,0.06252231339913013,atr_pct,5
2025-10,-0.19838298955946013,atr_pct,5
2025-11,-0.08359462209928263,atr_pct,5
2025-12,0.06416935270870945,atr_pct,5
2026-01,0.07963391663538497,atr_pct,5
2026-02,0.19920695738101088,atr_pct,5
2026-03,-0.28696818312871436,atr_pct,5
2026-04,0.2691901771769751,atr_pct,5
2026-05,-0.11727958340943626,atr_pct,5
2026-06,-0.06621963697840466,atr_pct,5
2026-07,-0.23158871055105812,atr_pct,5
2026-08,-0.026780658421980397,atr_pct,5
2026-09,-0.18451522962639996,atr_pct,5
2025-01,-0.05182232893157261,log_amount,5
2025-02,-0.008648134755914843,log_amount,5
2025-03,-0.1929854826758087,log_amount,5
2025-04,-0.006308330062796556,log_amount,5
2025-05,-0.16584610095662927,log_amount,5
2025-06,-0.014050525721891827,log_amount,5
2025-07,-0.06181321299388272,log_amount,5
2025-08,0.02457133734759582,log_amount,5
2025-09,-0.038867721915159074,log_amount,5
2025-10,-0.13930056871233343,log_amount,5
2025-11,-0.08624273153599568,log_amount,5
2025-12,0.029084757657224018,log_amount,5
2026-01,-0.06476232195672343,log_amount,5
2026-02,0.002055762532838556,log_amount,5
2026-03,-0.25700621442939675,log_amount,5
2026-04,0.18136873350499821,log_amount,5
2026-05,0.015124066888562172,log_amount,5
2026-06,-0.013109778593909509,log_amount,5
2026-07,-0.2386576082418839,log_amount,5
2026-08,-0.019896800963209782,log_amount,5
2026-09,-0.20756305132217376,log_amount,5
2025-01,0.016443781278035516,upper_shadow,5
2025-02,0.03399057926197799,upper_shadow,5
2025-03,-0.0367745228434253,upper_shadow,5
2025-04,0.021626713344257843,upper_shadow,5
2025-05,-0.06379020570994393,upper_shadow,5
2025-06,-0.01780552137002485,upper_shadow,5
2025-07,0.03527119948966786,upper_shadow,5
2025-08,-0.011712145594162686,upper_shadow,5
2025-09,0.0023118653141913272,upper_shadow,5
2025-10,-0.033344833942049304,upper_shadow,5
2025-11,-0.04291760978165156,upper_shadow,5
2025-12,-0.045393871314773585,upper_shadow,5
2026-01,0.009219030693672307,upper_shadow,5
2026-02,-0.02254573420404669,upper_shadow,5
2026-03,0.0224626483310616,upper_shadow,5
2026-04,0.005013027576093872,upper_shadow,5
2026-05,-0.04668887505775235,upper_shadow,5
2026-06,-0.012472110613324237,upper_shadow,5
2026-07,0.05623208749141235,upper_shadow,5
2026-08,-0.03160595103786042,upper_shadow,5
2026-09,-0.015276662948136437,upper_shadow,5
2025-01,-0.026118923604613504,lower_shadow,5
2025-02,-0.08240632270479159,lower_shadow,5
2025-03,-0.019998972148432752,lower_shadow,5
2025-04,0.042719715976772765,lower_shadow,5
2025-05,0.04463107783231331,lower_shadow,5
2025-06,0.029685783237649855,lower_shadow,5
2025-07,-0.009867211109399986,lower_shadow,5
2025-08,-0.04598657321011749,lower_shadow,5
2025-09,-0.022904492325419343,lower_shadow,5
2025-10,0.14835912107254368,lower_shadow,5
2025-11,-0.02083314358439926,lower_shadow,5
2025-12,-0.003236291332035841,lower_shadow,5
2026-01,0.05931362887870741,lower_shadow,5
2026-02,-0.04255519581224295,lower_shadow,5
2026-03,0.03403481412838624,lower_shadow,5
2026-04,-0.029575244310685218,lower_shadow,5
2026-05,-0.013591295719901945,lower_shadow,5
2026-06,-0.02167560441811939,lower_shadow,5
2026-07,0.07999961491716259,lower_shadow,5
2026-08,0.09187547395727948,lower_shadow,5
2026-09,-0.07424016937752126,lower_shadow,5
2025-01,0.04900941491250429,gap,5
2025-02,0.013594934709904978,gap,5
