date,mean,count,event
2025-10-31,-0.04668627,1,drop5_12
2025-11-18,-0.014560899,1,drop5_12
2025-11-24,0.022734912,2,drop5_12
2025-11-26,-0.0507788,1,drop5_12
2025-12-01,-0.07144322,1,drop5_12
2025-12-15,0.0051491493,1,drop5_12
2026-01-29,-0.013850035,1,drop5_12
2026-02-02,-0.028647011,3,drop5_12
2026-02-04,-0.015934331,2,drop5_12
2026-02-05,0.003283374,1,drop5_12
2026-02-06,0.15143868,1,drop5_12
2026-03-03,0.06209833,1,drop5_12
2026-03-09,-0.08043884,1,drop5_12
2026-03-10,-0.009596741,1,drop5_12
2026-03-13,-0.04425151,1,drop5_12
2026-03-17,0.02006455,2,drop5_12
2026-03-19,0.036372874,7,drop5_12
2026-03-23,-0.0073606516,7,drop5_12
2026-03-25,-0.050268963,1,drop5_12
2026-03-31,-0.060815666,2,drop5_12
2026-04-01,-0.06741181,1,drop5_12
2026-04-02,-0.036546044,1,drop5_12
2026-04-14,-0.035419952,1,drop5_12
2026-04-30,0.1385344,2,drop5_12
2026-05-11,0.025435325,1,drop5_12
2026-05-13,-0.0077774636,1,drop5_12
2026-05-15,0.022387844,1,drop5_12
2026-05-18,0.018557943,6,drop5_12
2026-05-19,0.1310548,1,drop5_12
2026-05-20,0.06000063,3,drop5_12
2026-05-21,0.13884112,1,drop5_12
2026-05-26,-0.012396571,1,drop5_12
2026-05-27,-0.06329523,2,drop5_12
2026-05-28,-0.035024814,1,drop5_12
2026-05-29,0.05454299,2,drop5_12
2026-06-02,0.03237757,1,drop5_12
2026-06-05,-0.014276564,2,drop5_12
2026-06-08,-0.0032520443,5,drop5_12
2026-06-09,-0.054920744,1,drop5_12
2026-06-10,0.033296887,4,drop5_12
2026-06-11,0.16214274,1,drop5_12
2026-06-12,0.13934107,3,drop5_12
2026-06-22,0.036745913,1,drop5_12
2026-06-24,0.01464385,1,drop5_12
2026-06-25,0.025273608,1,drop5_12
2026-06-26,0.012035957,1,drop5_12
2026-06-29,0.040078063,2,drop5_12
2026-07-02,0.05449476,1,drop5_12
2026-07-03,-0.021648467,1,drop5_12
2026-07-06,-0.07378624,1,drop5_12
2026-07-07,-0.071218275,5,drop5_12
2026-07-08,-0.047614157,4,drop5_12
2026-07-09,-0.19556445,1,drop5_12
2026-07-10,-0.09028181,1,drop5_12
2026-07-13,-0.034295477,4,drop5_12
2026-07-15,-0.094758995,2,drop5_12
2026-07-16,-0.102525264,2,drop5_12
2026-07-17,-0.02372925,4,drop5_12
2026-07-20,-0.0010346957,1,drop5_12
2026-07-29,0.04089107,2,drop5_12
2026-07-30,0.1116959,2,drop5_12
2026-08-03,0.19189978,3,drop5_12
2026-08-14,0.010025194,1,drop5_12
2026-08-17,-0.023453666,1,drop5_12
2026-08-20,-0.007470813,1,drop5_12
2026-08-24,0.005220109,3,drop5_12
2026-08-25,-0.069470845,1,drop5_12
2026-08-27,0.00065669185,1,drop5_12
2026-09-04,0.02671876,1,drop5_12
2015-01-05,0.023946185,4,limit_up_normal
2015-01-29,0.030982587,1,limit_up_normal
2015-02-03,0.15851861,1,limit_up_normal
2015-02-05,-0.029963136,1,limit_up_normal
2015-02-11,0.0655421,1,limit_up_normal
2015-02-16,-0.007825989,1,limit_up_normal
2015-02-26,-0.023782035,2,limit_up_normal
2015-03-02,0.022266248,1,limit_up_normal
2015-03-03,-0.07795572,1,limit_up_normal
2015-03-16,0.0066150203,1,limit_up_normal
2015-03-17,0.013483126,2,limit_up_normal
2015-03-18,0.011582811,3,limit_up_normal
2015-03-19,-0.10528198,1,limit_up_normal
2015-03-24,-0.024217691,1,limit_up_normal
2015-03-27,-0.050061338,1,limit_up_normal
2015-03-30,-0.07863951,2,limit_up_normal
2015-04-01,-0.05575327,1,limit_up_normal
2015-04-03,-0.063511714,1,limit_up_normal
2015-04-07,0.005308816,1,limit_up_normal
2015-04-10,-0.03972319,2,limit_up_normal
2015-04-13,-0.017013576,1,limit_up_normal
2015-04-16,-0.1477381,1,limit_up_normal
2015-04-22,-0.013369177,1,limit_up_normal
2015-04-23,0.011686897,2,limit_up_normal
2015-04-28,-0.056919903,1,limit_up_normal
2015-04-29,-0.040204525,1,limit_up_normal
2015-05-14,-0.1301831,1,limit_up_normal
2015-05-18,-0.043810558,2,limit_up_normal
2015-05-19,-0.07222482,1,limit_up_normal
2015-05-21,-0.12158581,1,limit_up_normal
2015-05-25,0.15468551,1,limit_up_normal
2015-05-26,0.058142252,2,limit_up_normal
2015-05-27,0.047248125,1,limit_up_normal
2015-06-01,-0.04092549,3,limit_up_normal
2015-06-02,0.08588898,4,limit_up_normal
2015-06-03,0.0065318868,1,limit_up_normal
2015-06-04,0.05264091,4,limit_up_normal
2015-06-05,0.05825836,2,limit_up_normal
2015-06-08,-0.05715408,1,limit_up_normal
2015-06-10,0.116750404,1,limit_up_normal
2015-06-11,0.0404067,2,limit_up_normal
2015-06-12,-0.06104204,1,limit_up_normal
2015-06-15,0.117193505,1,limit_up_normal
2015-06-17,-0.05899384,1,limit_up_normal
2015-06-23,0.10116912,2,limit_up_normal
2015-06-24,0.09606069,2,limit_up_normal
2015-06-29,-0.19314197,1,limit_up_normal
2015-06-30,-0.015651569,2,limit_up_normal
2015-07-09,0.0035556268,26,limit_up_normal
2015-07-10,-0.010834235,24,limit_up_normal
2015-07-13,0.0031187988,19,limit_up_normal
2015-07-14,0.07640171,2,limit_up_normal
2015-07-15,0.106165186,1,limit_up_normal
2015-07-16,0.07562842,1,limit_up_normal
2015-07-17,0.033279438,5,limit_up_normal
2015-07-20,0.08189024,1,limit_up_normal
2015-07-22,0.12530297,2,limit_up_normal
2015-07-23,0.015109479,1,limit_up_normal
2015-07-29,-0.063505985,4,limit_up_normal
2015-08-03,-0.09417668,1,limit_up_normal
2015-08-04,0.10197446,4,limit_up_normal
2015-08-06,0.04182534,1,limit_up_normal
2015-08-07,-0.030452156,1,limit_up_normal
2015-08-11,-0.047212772,1,limit_up_normal
2015-08-12,0.016141012,1,limit_up_normal
2015-08-13,-0.018513218,2,limit_up_normal
2015-08-17,0.015894482,3,limit_up_normal
2015-08-19,-0.08514265,3,limit_up_normal
2015-08-24,0.14683792,1,limit_up_normal
2015-08-27,-0.06144814,4,limit_up_normal
2015-08-28,-0.053536337,7,limit_up_normal
2015-08-31,-0.049726345,4,limit_up_normal
2015-09-02,-0.0010095816,1,limit_up_normal
2015-09-08,-0.029570922,1,limit_up_normal
2015-09-09,-0.04423239,1,limit_up_normal
2015-09-16,0.039525587,12,limit_up_normal
2015-09-18,-0.00036609918,2,limit_up_normal
2015-09-21,-0.046849467,1,limit_up_normal
2015-09-23,-0.06454328,1,limit_up_normal
2015-09-24,-0.09392799,2,limit_up_normal
2015-10-08,-0.021460783,2,limit_up_normal
2015-10-09,-0.040628675,1,limit_up_normal
2015-10-12,0.05496553,3,limit_up_normal
2015-10-13,-0.030364843,1,limit_up_normal
2015-10-15,0.25477657,1,limit_up_normal
2015-10-16,0.045975074,3,limit_up_normal
2015-10-19,-0.0423574,1,limit_up_normal
2015-10-20,-0.11604457,1,limit_up_normal
2015-10-22,0.018260516,2,limit_up_normal
2015-10-23,-0.051417366,1,limit_up_normal
2015-10-27,-0.11769456,2,limit_up_normal
2015-10-29,-0.04836224,2,limit_up_normal
2015-10-30,-0.09116636,1,limit_up_normal
2015-11-04,0.041538477,3,limit_up_normal
2015-11-06,0.04128862,1,limit_up_normal
2015-11-09,-0.027017258,1,limit_up_normal
2015-11-10,-0.07397776,2,limit_up_normal
2015-11-11,-0.005296273,1,limit_up_normal
2015-11-12,-0.06263713,1,limit_up_normal
2015-11-20,-0.010406978,1,limit_up_normal
2015-11-26,-0.09242036,1,limit_up_normal
2015-11-30,-0.12433398,1,limit_up_normal
2015-12-01,0.07253732,1,limit_up_normal
2015-12-02,0.0171767,3,limit_up_normal
2015-12-03,0.06718726,1,limit_up_normal
2015-12-07,-0.04588569,1,limit_up_normal
2015-12-09,0.012336569,1,limit_up_normal
2015-12-10,-0.07087262,1,limit_up_normal
2015-12-14,-0.02986188,1,limit_up_normal
2015-12-17,-0.1163785,2,limit_up_normal
2015-12-21,-0.034912754,5,limit_up_normal
2015-12-22,-0.10142781,1,limit_up_normal
2015-12-30,0.14817573,1,limit_up_normal
2016-01-05,-0.1345866,1,limit_up_normal
2016-01-06,-0.040039707,3,limit_up_normal
2016-01-08,0.00033198297,1,limit_up_normal
2016-01-14,0.2507511,1,limit_up_normal
2016-01-27,-0.017218752,1,limit_up_normal
2016-02-04,-0.013988665,1,limit_up_normal
2016-02-16,-0.061397985,1,limit_up_normal
2016-02-22,-0.10205693,1,limit_up_normal
2016-02-29,0.044946417,1,limit_up_normal
2016-03-01,-0.04767528,1,limit_up_normal
2016-03-02,-0.04045173,4,limit_up_normal
2016-03-03,-0.035699554,1,limit_up_normal
2016-03-04,-0.057487566,1,limit_up_normal
2016-03-07,-0.08238611,1,limit_up_normal
2016-03-21,-0.036037132,2,limit_up_normal
2016-03-31,-0.01471001,2,limit_up_normal
2016-04-05,-0.036470234,1,limit_up_normal
2016-04-13,-0.019714078,3,limit_up_normal
2016-05-11,-0.004218347,1,limit_up_normal
2016-05-31,-0.003768784,1,limit_up_normal
2016-06-17,-0.0545666,1,limit_up_normal
2016-06-27,0.0034149587,1,limit_up_normal
2016-06-28,-0.0402776,2,limit_up_normal
2016-07-04,-0.0070134737,1,limit_up_normal
2016-07-08,-0.02139197,2,limit_up_normal
2016-07-11,-0.0811044,1,limit_up_normal
2016-07-12,-0.01042218,3,limit_up_normal
2016-08-03,-0.02429209,1,limit_up_normal
2016-08-04,0.013600145,1,limit_up_normal
2016-08-11,0.0030617975,1,limit_up_normal
2016-08-12,0.027164055,1,limit_up_normal
2016-08-15,-0.06690962,1,limit_up_normal
2016-08-16,-0.070235975,1,limit_up_normal
2016-08-19,-0.056074806,1,limit_up_normal
2016-08-31,-0.074326105,1,limit_up_normal
2016-09-12,-0.034482524,1,limit_up_normal
2016-11-11,-0.01675511,3,limit_up_normal
2016-11-15,-0.039926942,1,limit_up_normal
2016-11-22,0.15836447,1,limit_up_normal
2016-11-23,-0.02851811,2,limit_up_normal
2016-11-24,-0.010275293,1,limit_up_normal
2016-12-19,-0.032205276,1,limit_up_normal
2017-01-12,-0.18703999,1,limit_up_normal
2017-02-10,-0.0042597735,1,limit_up_normal
2017-03-16,0.018709453,1,limit_up_normal
2017-03-23,-0.16217583,1,limit_up_normal
2017-04-11,-0.13262616,1,limit_up_normal
2017-04-12,-0.09650226,1,limit_up_normal
2017-04-26,0.00022821222,1,limit_up_normal
2017-04-28,-0.09141501,1,limit_up_normal
2017-05-18,-0.029218785,1,limit_up_normal
2017-05-25,0.013855384,1,limit_up_normal
2017-06-23,-0.03402426,1,limit_up_normal
2017-06-26,-0.055780575,1,limit_up_normal
2017-07-28,-0.055698562,1,limit_up_normal
2017-09-18,0.038845167,1,limit_up_normal
2017-11-21,0.0059612505,1,limit_up_normal
2017-11-29,-0.060951117,1,limit_up_normal
2017-12-07,0.029997531,1,limit_up_normal
2017-12-26,0.010023009,1,limit_up_normal
2017-12-29,-0.008828229,1,limit_up_normal
2018-01-02,-0.16257784,1,limit_up_normal
2018-01-11,-0.15386459,1,limit_up_normal
2018-01-16,0.004284838,1,limit_up_normal
2018-01-22,0.009465726,1,limit_up_normal
2018-02-27,0.09873069,1,limit_up_normal
2018-02-28,0.023631355,1,limit_up_normal
2018-03-12,-0.006721843,1,limit_up_normal
2018-04-11,0.06556593,1,limit_up_normal
2018-04-18,-0.012535503,1,limit_up_normal
2018-04-24,-0.011389902,1,limit_up_normal
2018-05-07,-0.031188508,1,limit_up_normal
2018-05-15,-0.03828466,1,limit_up_normal
2018-05-28,0.05429725,1,limit_up_normal
2018-06-04,-0.049026284,1,limit_up_normal
2018-06-29,0.042101834,1,limit_up_normal
2018-07-03,-0.046238426,2,limit_up_normal
2018-07-13,-0.05266395,1,limit_up_normal
2018-07-16,0.008789087,1,limit_up_normal
2018-07-17,-0.07370346,1,limit_up_normal
2018-08-09,0.12381068,1,limit_up_normal
2018-08-14,-0.12973937,1,limit_up_normal
2018-09-19,-0.015672361,1,limit_up_normal
2018-09-20,-0.088602,1,limit_up_normal
2018-10-19,-0.11655278,1,limit_up_normal
2018-10-22,0.078945406,2,limit_up_normal
2018-11-02,-0.029137462,1,limit_up_normal
2018-11-15,0.017374426,1,limit_up_normal
2018-11-16,-0.09361504,1,limit_up_normal
2018-11-19,-0.029030722,1,limit_up_normal
2019-01-04,-0.030593524,1,limit_up_normal
2019-01-14,0.04787419,1,limit_up_normal
2019-01-16,0.124263704,1,limit_up_normal
2019-02-12,0.12337658,1,limit_up_normal
2019-02-13,-0.09756257,1,limit_up_normal
2019-02-22,-0.04204161,1,limit_up_normal
2019-02-25,-0.049290664,7,limit_up_normal
2019-03-05,0.041299548,2,limit_up_normal
2019-03-07,-0.08122415,2,limit_up_normal
2019-03-18,-0.023697209,2,limit_up_normal
2019-03-19,0.24020697,1,limit_up_normal
2019-03-21,-0.04907524,1,limit_up_normal
